Value,Day sin,Day cos,Year sin,Year cos
42832.3525,-6.012051295853984e-12,1.0,0.01088054180655883,0.9999408051529829
41111.0725,0.2588190450916155,0.9659258262919903,0.01159727889855225,0.9999327492997463
40364.555,0.49999999999825423,0.8660254037854466,0.01231401003213102,0.9999241797041056
40318.0775,0.70710678118139,0.707106781191705,0.013030734839055202,0.9999150963704639
39641.945,0.8660254037781528,0.5000000000108873,0.013747452951088108,0.999905499303488
39041.9075,0.9659258262882148,0.2588190451057059,0.014464163999996485,0.9998953885081084
39522.355,1.0,8.575395447448502e-12,0.015180867617550714,0.9998847639895202
40628.3875,0.9659258262888875,-0.2588190451031956,0.015897563435524995,0.9998736257531816
42980.5675,0.8660254037867282,-0.4999999999960343,0.016614251085697525,0.9998619738048155
45565.2,0.7071067811935176,-0.7071067811795775,0.01733093019985071,0.9998498081504081
48036.9675,0.5000000000005049,-0.8660254037841472,0.018047600409771335,0.9998371287962101
49225.4875,0.25881904510818193,-0.9659258262875514,0.018764261347307597,0.9998239357487346
48370.315,1.113873959904302e-11,-1.0,0.01948091264414195,0.9998102290147622
47416.9375,-0.2588190451007196,-0.9659258262895509,0.020197553932132312,0.9997960086013339
47705.515,-0.4999999999938144,-0.86602540378801,0.020914184843084896,0.9997812745157559
49541.1725,-0.7071067811777649,-0.7071067811953301,0.02163080500881126,0.9997660267655982
53103.8025,-0.8660254037828655,-0.5000000000027248,0.022347414061128473,0.9997502653586947
53821.61,-0.965925826286888,-0.25881904511065795,0.02306401163185932,0.9997339903031434
52778.365,-1.0,8.498314777293121e-13,0.023780597352832486,0.9997172016073058
50494.2825,-0.9659258262902144,0.2588190450982436,0.02449717085588273,0.9996998992798077
48736.05,-0.8660254037892916,0.49999999999159445,0.025213731772851113,0.9996820833295387
48081.9025,-0.7071067811868529,0.7071067811862422,0.025930279735585135,0.9996637537656521
45715.7225,-0.5000000000049447,0.8660254037815838,0.026646814375938972,0.9996449105975652
42999.205,-0.2588190451131339,0.9659258262862245,0.02736333532577364,0.9996255538349593
41202.9475,-1.7135126738652067e-12,1.0,0.028079842216957182,0.9996056834877795
40226.65,0.2588190450957676,0.9659258262908778,0.02879633468142169,0.9995852995662329
40095.2525,0.49999999998937456,0.8660254037905732,0.029512812350936207,0.9995644020807956
40744.3475,0.7071067811844296,0.7071067811886654,0.030229274857447832,0.9995429910422027
41166.4075,0.8660254037803021,0.5000000000071647,0.03094572183285465,0.9995210664614547
42352.72,0.965925826285561,0.25881904511560994,0.031662152909062706,0.9994986283498157
44097.065,1.0,4.276856825459725e-12,0.03237856771798623,0.9994756767188143
46271.76,0.9659258262915412,-0.2588190450932916,0.03309496589154779,0.9994522115802422
49200.8425,0.8660254037845789,-0.4999999999997569,0.03381134706167853,0.9994282329461555
51541.345,0.707106781190478,-0.707106781182617,0.034527710860318306,0.9994037408288735
53552.455,0.5000000000093846,-0.8660254037790205,0.0352440569194159,0.9993787352409801
54511.38,0.25881904510402987,-0.965925826288664,0.035960384870929216,0.9993532161953224
53628.0075,6.8402009770542445e-12,-1.0,0.03667669434682547,0.9993271837050114
52594.045,-0.2588190450908156,-0.9659258262922047,0.03739298497908135,0.9993006377834222
52706.375,-0.499999999997537,-0.8660254037858607,0.03810925639968324,0.9992735784441932
54513.1725,-0.7071067811808045,-0.7071067811922905,0.03882550824068419,0.999246005701225
57545.585,-0.8660254037777387,-0.5000000000116045,0.039541740133976905,0.999217919568688
57822.4675,-0.9659258262880005,-0.2588190451065059,0.040257951711634744,0.9991893200610101
56040.9875,-1.0,-9.403545128648763e-12,0.04097414260568471,0.9991602071928851
52636.8,-0.9659258262891018,0.2588190451023957,0.04169031244816442,0.9991305809792704
50289.72,-0.8660254037871423,0.4999999999953171,0.04240646087112231,0.9991004414353875
49465.555,-0.7071067811941031,0.707106781178992,0.043122587506617835,0.999069788576721
47561.0625,-0.5000000000012221,0.866025403783733,0.04383869198672162,0.9990386224190201
44602.0375,-0.25881904510898185,0.965925826287337,0.04455477394351569,0.999006942978297
42585.245,-1.1966889280243282e-11,1.0,0.04527083300909363,0.9989747502708278
41465.79,0.2588190450999197,0.9659258262897652,0.04598686881556081,0.9989420443131526
41552.2825,0.4999999999930972,0.866025403788424,0.046702880995034515,0.9989088251220747
42058.17,0.7071067811771794,0.7071067811959156,0.0474188691796442,0.9988750927146616
42648.6675,0.8660254037824514,0.500000000003442,0.048134833001531624,0.9988408471082441
42610.965,0.9659258262866736,0.25881904511145787,0.048850772092907856,0.9988060883204141
43885.445,1.0,-2.1681796529051144e-14,0.04956668608582634,0.9987708163690353
46726.1125,0.9659258262904287,-0.2588190450974437,0.05028257461252374,0.9987350312722268
50072.875,0.8660254037897057,-0.49999999999087724,0.05099843730519302,0.9986987330483744
52865.48,0.7071067811874385,-0.7071067811856566,0.051714273796040426,0.9986619217161272
56161.145,0.5000000000056619,-0.8660254037811698,0.05243008371728567,0.9986245972943979
56738.795,0.2588190451139339,-0.9659258262860102,0.053145866701162114,0.998586759802363
55865.175,2.5416623550654675e-12,-1.0,0.05386162237991695,0.9985484092594626
54674.71,-0.25881904509496767,-0.9659258262910921,0.05457735038581141,0.9985095456854002
55048.22,-0.49999999998865735,-0.8660254037909874,0.05529305035112092,0.9984701691001431
56362.255,-0.7071067811838441,-0.7071067811892511,0.05600872190813535,0.998430279523922
59481.9625,-0.866025403779888,-0.5000000000078819,0.05672436468915914,0.9983898769772314
59346.265,-0.965925826289113,-0.2588190451023538,0.057439978326511515,0.9983489614808291
